query,results,precision,recall,f_score
632407033,"['681625716', '630939469', '683043174', '619202453', '620666561', '680550503', '637212975', '625813135', '637487965', '638875519']",0.0,0.0,0.0
633738153,"['680642087', '638502841', '682268779', '639169265', '635204179', '637601793', '636949327', '638513281', '637324645', '635784765']",0.27,0.016265060240963858,0.030681818181818185
634348243,"['680184214', '637376729', '637412303', '680435946', '634984739', '635684939', '636128593', '682222041', '636317151', '638339245']",0.09,0.005421686746987951,0.010227272727272725
634588015,"['681317797', '637351667', '637749307', '637414593', '634719691', '636128593', '634136287', '637442721', '637375159', '637662353']",0.09,0.005421686746987951,0.010227272727272725
634618119,"['621044225', '684209635', '634135015', '682045177', '680162637', '621817939', '684023120', '635918489', '621772137', '624211101']",0.09,0.005421686746987951,0.010227272727272725
634635771,"['634348243', '634456859', '635355141', '635918489', '637436743', '682181412', '682938758', '638574021', '633696629', '682116910']",0.09,0.005421686746987951,0.010227272727272725
634651993,"['638084025', '636875925', '636141523', '635962755', '680990890', '680663322', '637049417', '680712325', '683258633', '636899969']",0.18,0.010843373493975903,0.020454545454545454
634713055,"['636477423', '637845795', '637249539', '636540891', '634499761', '681291434', '636768045', '637170755', '637437717', '638106547']",0.0,0.0,0.0
634723561,"['680659551', '684724424', '684060193', '638995201', '631340387', '630206811', '681689379', '630543771', '681399110', '639068175']",0.0,0.0,0.0
634759349,"['683404740', '634783695', '636900463', '683395543', '638682991', '684567275', '681690452', '634730871', '680826121', '622455471']",0.0,0.0,0.0
634773809,"['682711855', '629986741', '682027813', '685650592', '635929387', '684008654', '634329839', '681196531', '635668665', '683289086']",0.0,0.0,0.0
634837319,"['636511383', '682998347', '683864340', '685501272', '680855617', '635446201', '681651464', '684906758', '684212829', '682131746']",0.09,0.005421686746987951,0.010227272727272725
635057547,"['638036839', '636070081', '685277608', '685053578', '637526199', '680184214', '637326807', '636061267', '638479419', '638687451']",0.0,0.0,0.0
635305365,"['681331984', '631534943', '632069019', '629761033', '680570038', '680440734', '621079635', '630090037', '682876009', '629155009']",0.0,0.0,0.0
635312649,"['635486083', '636762725', '684669665', '634719691', '638791029', '635942685', '638893113', '637749307', '637512501', '637813763']",0.09,0.005421686746987951,0.010227272727272725
635373961,"['685469511', '682648181', '632341825', '632369153', '631664515', '630697783', '630512929', '629959257', '629114939', '631368287']",0.0,0.0,0.0
635386961,"['685506249', '636128593', '636317151', '638162501', '636957033', '636096533', '684669665', '636463641', '635942685', '637545251']",0.09,0.005421686746987951,0.010227272727272725
635412331,"['634506187', '632446711', '630219865', '638580355', '685644030', '681537519', '637229797', '683557090', '631201331', '632474657']",0.0,0.0,0.0
635581283,"['635466841', '682260269', '634262129', '680614914', '684061003', '684382521', '635561927', '686903086', '680791518', '681109109']",0.0,0.0,0.0
635679513,"['686420498', '681135241', '637281205', '635956949', '636900463', '638037927', '636823617', '634783695', '681868804', '635355141']",0.09,0.005421686746987951,0.010227272727272725
635784765,"['636128593', '680120599', '636317151', '635918489', '636096533', '681737857', '637376729', '635914457', '635204179', '638506433']",0.0,0.0,0.0
635909777,"['687330915', '683452737', '686081024', '685072723', '636501885', '686606999', '686589826', '681880266', '681727167', '686157489']",0.0,0.0,0.0
635927913,"['637897281', '622061725', '684310490', '682529774', '680368009', '682162756', '687297080', '634539987', '624469483', '685498094']",0.0,0.0,0.0
635948687,"['683882697', '636172967', '631617691', '687024224', '683875394', '683136871', '685287944', '684832689', '685887633', '684327938']",0.0,0.0,0.0
635993289,"['684112690', '681457395', '636282701', '635137865', '683724490', '685300807', '680401130', '682143553', '682277127', '639013119']",0.0,0.0,0.0
636006417,"['684946054', '636510059', '680427959', '637062169', '638791029', '636762725', '634421795', '638893113', '680966564', '685207318']",0.18,0.010843373493975903,0.020454545454545454
